"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Argentina","ARG","Population ages 10-14, female (% of female population)","SP.POP.1014.FE.5Y","9.7137919582991","9.71378654377216","9.68218422061046","9.62711923413618","9.56275642608108","9.49872730769886","9.4442475781284","9.39042577440447","9.33567232632493","9.27478064883901","9.20306471518358","9.16768850378809","9.12259955961746","9.06954369465651","9.0069085892817","8.93091504974162","8.8293182860411","8.72594785498886","8.6281653535113","8.55491326163723","8.5231764871196","8.5523438848338","8.62803980627736","8.73629548321332","8.865696081259","9.01468332552826","9.20976659779921","9.40862995926912","9.59806980505181","9.73775234269627","9.78256770836601","9.7187644635078","9.57998021803854","9.39213614032641","9.20924559743567","9.07841821557181","8.99802171545476","8.96190197659686","8.95522806521128","8.9523402958093","8.93583819326983","8.91102573426083","8.88347594190426","8.85466253206733","8.81656368023094","8.75522409751085","8.6642203833831","8.54779827350456","8.41409165286089","8.28361215479839","8.17588226889556","8.09202302155044","8.02822450717677","7.97918994009511","7.93347260354972","7.88185291257472","7.82861480545544","7.77385270428455","7.71893695574254","7.66914887402645","",
"Argentina","ARG","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","58.6408764","58.8237422","59.006608","59.0041702","59.0017324","58.9992946","58.9968568","58.994419","59.4213684","59.8483178","60.2752672","60.7022166","61.129166","61.5589704","61.9887748","62.4185792","62.8483836","63.278188","63.756526","64.234864","64.713202","65.19154","65.669878","65.8919378","66.1139976","66.3360574","66.5581172","66.780177","67.1838464","67.5875158","67.9911852","68.3948546","68.798524","69.1576456","69.5167672","69.8758888","70.2350104","70.594132","70.9309522","71.2677724","71.6045926","71.9414128","72.278233","72.5939744","72.9097158","73.2254572","73.5411986","73.85694","74.1528076","74.4486752","74.7445428","75.0404104","75.336278","75.6134452","75.8906124","76.1677796","76.4449468","76.722114","76.9832518","","",
"Argentina","ARG","Vitamin A supplementation coverage rate (% of children ages 6-59 months)","SN.ITK.VITA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","4.38000011444092","3.85999989509583","3.38000011444092","","","4.5","5.30000019073486","7","7.13000011444092","5.32999992370605","6.1399998664856","8.5","10.3400001525879","16.5","15.7299995422363","12.9099998474121","11.710000038147","13.2799997329712","14.0500001907349","17.4099998474121","20.1299991607666","13.7299995422363","11.8299999237061","10","8.35999965667725","","6.46999979019165","7.76000022888184","6.65000009536743","6.23999977111816","6.05999994277954","6.09999990463257","6.46999979019165","","","7.51000022888184","8.19999980926514","9.18000030517578","",
"Argentina","ARG","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3199996948242","26.0300006866455","23.6599998474121","","18.8400001525879","21.1700000762939","19.3600006103516","18.7299995422363","18.2800006866455","19.4300003051758","18.8400001525879","","","22.6399993896484","23.7299995422363","25.8600006103516","",
"Argentina","ARG","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","84.2900009155273","","","","","","","","","","81.0500030517578","","","","","","","78.1100006103516","77.6999969482422","77.2699966430664","76.379997253418","","","80.3600006103516","","79.6399993896484","","79.5100021362305","","78.7699966430664","78.6800003051758","75.0800018310547","67.0999984741211","67.3000030517578","67.6999969482422","76.1800003051758","76.3000030517578","76","76.3000030517578","76.0999984741211","73.3399963378906","72.5999984741211","72.0999984741211","73.3000030517578","75.129997253418","75.1999969482422","75.0699996948242","74.9000015258789","74","73.9100036621094","73.870002746582","74.4300003051758","73.7600021362305","73.3399963378906","72.4499969482422","","","70.9199981689453","71.0100021362305","71.4100036621094","",
"Argentina","ARG","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2400016784668","56.5200004577637","55.6300010681152","54.7900009155273","54.0499992370605","53.3199996948242","53.1100006103516","53.2400016784668","53.439998626709","53.6300010681152","53.8300018310547","53.810001373291","53.560001373291","53.7999992370605","54.0200004577637","52.9500007629395","52.9900016784668","51.6500015258789","50.3400001525879","50.9599990844727","49.2799987792969","49.25","48.9300003051758","48.4199981689453","46.939998626709","46.7000007629395","46.3899993896484","45.9900016784668","45.8400001525879","45.1800003051758","",
"Argentina","ARG","Average working hours of children, study and work, female, ages 7-14 (hours per week)","SL.TLF.0714.SW.FE.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4099998474121","41.25","38.5499992370605","37.9799995422363","34.9099998474121","33.4599990844727","35.0299987792969","34.9199981689453","32.810001373291","31.5799999237061","30.4099998474121","28","29.0599994659424","30.9500007629395","31.9599990844727","32.7000007629395","33.2099990844727","33.4599990844727","32.6800003051758","32.8899993896484","33.6100006103516","33.4300003051758","34.2700004577637","35","34.1399993896484","32.7999992370605","31.9799995422363","31.3099994659424","31.2000007629395","",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.5999984741211","47","47.2999992370605","47.0999984741211","44.7999992370605","43.7000007629395","43.7000007629395","46.2000007629395","46.7000007629395","46.7000007629395","49.5","46.4000015258789","47.5999984741211","51.9000015258789","53.5699996948242","54.4300003051758","55.5699996948242","55.7999992370605","55.689998626709","55.5299987792969","55.5400009155273","56.2999992370605","56.0099983215332","55.7099990844727","55.1199989318848","","","53.9000015258789","54.0999984741211","54.3499984741211","",
